date,revenue,transaction_qty,avg_spend
2023-09-22,51200,356,143.82
2023-09-23,54800,381,143.83
2023-09-24,38600,268,144.03
2023-09-25,42500,296,143.58
2023-09-26,46400,323,143.65
2023-09-27,44200,307,143.97
2023-09-28,48200,335,143.88
2023-09-29,52300,363,144.08
2023-09-30,56000,389,143.96
2023-10-01,39500,275,143.64
2023-10-02,43400,302,143.71
2023-10-03,47500,330,143.94
2023-10-04,45200,314,143.95
2023-10-05,49200,342,143.86
2023-10-06,53400,371,143.94
2023-10-07,57200,397,144.08
2023-10-08,40500,281,144.13
2023-10-09,44500,309,144.01
2023-10-10,48600,338,143.79
2023-10-11,46300,322,143.79
2023-10-12,50300,350,143.71
2023-10-13,54600,379,144.06
2023-10-14,58500,406,144.09
2023-10-15,41500,288,144.10
2023-10-16,45600,317,143.85
2023-10-17,49800,346,143.93
2023-10-18,47400,330,143.64
2023-10-19,51500,358,143.85
2023-10-20,55800,388,143.81
2023-10-21,59800,415,144.10
2023-10-22,42500,295,144.07
2023-10-23,46700,325,143.69
2023-10-24,51000,355,143.66
2023-10-25,48600,338,143.79
2023-10-26,52700,366,143.99
2023-10-27,57100,397,143.83
2023-10-28,61200,425,144.00
2023-10-29,43600,303,143.89
2023-10-30,47900,333,143.84
2023-10-31,52300,363,144.08
2023-11-01,49800,346,143.93
2023-11-02,54000,375,144.00
2023-11-03,58500,407,143.73
2023-11-04,62700,436,143.81
2023-11-05,44800,311,144.05
2023-11-06,49100,341,143.99
2023-11-07,53600,373,143.70
2023-11-08,51100,355,143.94
2023-11-09,55300,384,144.01
2023-11-10,59900,416,143.99
2023-11-11,64200,446,143.95
2023-11-12,46000,319,144.20
2023-11-13,50400,350,144.00
2023-11-14,54900,382,143.72
2023-11-15,52400,364,143.96
2023-11-16,56700,394,143.91
2023-11-17,61300,426,143.90
2023-11-18,65800,457,143.98
2023-11-19,47200,328,143.90
2023-11-20,51700,359,144.01
2023-11-21,56300,391,144.00
2023-11-22,53700,373,143.97
2023-11-23,58200,404,144.06
2023-11-24,62900,437,143.94
2023-11-25,67400,468,144.02
2023-11-26,48500,337,143.92
2023-11-27,53000,368,144.02
2023-11-28,57700,401,143.89
2023-11-29,55100,383,143.86
2023-11-30,59700,415,143.86
2023-12-01,64500,448,144.01
2023-12-02,69200,481,143.85
2023-12-03,49800,346,143.93
2023-12-04,54400,378,143.92
2023-12-05,59200,411,144.04
2023-12-06,56500,393,143.77
2023-12-07,61200,426,143.66
2023-12-08,66100,459,144.01
2023-12-09,70900,492,144.11
2023-12-10,51200,356,143.82
2023-12-11,55900,389,143.70
2023-12-12,60800,423,143.74
2023-12-13,58000,403,143.92
2023-12-14,62800,437,143.71
2023-12-15,67800,471,143.95
2023-12-16,72700,505,143.96
2023-12-17,52700,366,143.99
2023-12-18,57500,400,143.75
2023-12-19,62500,435,143.68
2023-12-20,59600,415,143.61
2023-12-21,64500,449,143.65
2023-12-22,69600,484,143.80
2023-12-23,74700,519,143.93
2023-12-24,54200,377,143.77
2023-12-25,59100,411,143.80
2023-12-26,64300,447,143.85
2023-12-27,61300,427,143.56
2023-12-28,66400,462,143.72
2023-12-29,71700,499,143.69
2023-12-30,76900,535,143.74
2023-12-31,55900,389,143.70
2024-01-01,13800,96,143.75
2024-01-02,17200,120,143.33
2024-01-03,19800,138,143.48
2024-01-04,18400,128,143.75
2024-01-05,21300,148,143.92
2024-01-06,23700,165,143.64
2024-01-07,25500,177,144.07
2024-01-08,14600,101,144.55
2024-01-09,17900,125,143.20
2024-01-10,20600,144,143.06
2024-01-11,19200,134,143.28
2024-01-12,22100,154,143.51
2024-01-13,24600,171,143.86
2024-01-14,26500,184,144.02
2024-01-15,15400,107,143.93
2024-01-16,18700,130,143.85
2024-01-17,21400,149,143.62
2024-01-18,19900,139,143.17
2024-01-19,22900,160,143.13
2024-01-20,25400,177,143.50
2024-01-21,27400,190,144.21
2024-01-22,16200,113,143.36
2024-01-23,19500,136,143.38
2024-01-24,22300,155,143.87
2024-01-25,20700,144,143.75
2024-01-26,23700,165,143.64
2024-01-27,26300,183,143.72
2024-01-28,28300,197,143.65
2024-01-29,17100,119,143.70
2024-01-30,20300,141,143.97
2024-01-31,23100,161,143.48
2024-02-01,21500,150,143.33
2024-02-02,24600,171,143.86
2024-02-03,27200,189,143.92
2024-02-04,29300,204,143.63
2024-02-05,17900,125,143.20
2024-02-06,21200,148,143.24
2024-02-07,24000,167,143.71
2024-02-08,22400,156,143.59
2024-02-09,25500,178,143.26
2024-02-10,28200,196,143.88
2024-02-11,30400,211,144.08
2024-02-12,18800,131,143.51
2024-02-13,22000,153,143.79
2024-02-14,28900,201,143.78
2024-02-15,23200,162,143.21
2024-02-16,26400,184,143.48
2024-02-17,29100,203,143.35
2024-02-18,31400,219,143.38
2024-02-19,19700,137,143.80
2024-02-20,22900,160,143.13
2024-02-21,25700,179,143.58
2024-02-22,24000,167,143.71
2024-02-23,27300,190,143.68
2024-02-24,30100,210,143.33
2024-02-25,32500,226,143.81
2024-02-26,20600,143,144.06
2024-02-27,23800,166,143.37
2024-02-28,26600,185,143.78
2024-02-29,24900,174,143.10
2024-03-01,28200,197,143.15
2024-03-02,31100,217,143.32
2024-03-03,33600,234,143.59
2024-03-04,21500,150,143.33
2024-03-05,24700,172,143.60
2024-03-06,27600,192,143.75
2024-03-07,25800,180,143.33
2024-03-08,29100,203,143.35
2024-03-09,32100,224,143.30
2024-03-10,34700,242,143.39
2024-03-11,22400,156,143.59
2024-03-12,25700,179,143.58
2024-03-13,28700,200,143.50
2024-03-14,26800,187,143.32
2024-03-15,30100,210,143.33
2024-03-16,33200,231,143.72
2024-03-17,35900,250,143.60
2024-03-18,23400,163,143.56
2024-03-19,26700,186,143.55
2024-03-20,29800,208,143.27
2024-03-21,27800,194,143.30
2024-03-22,31200,218,143.12
2024-03-23,34400,240,143.33
2024-03-24,37200,259,143.63
2024-03-25,24400,170,143.53
2024-03-26,27800,194,143.30
2024-03-27,30900,216,143.06
2024-03-28,28900,202,143.07
2024-03-29,32300,225,143.56
2024-03-30,35600,248,143.55
2024-03-31,38500,268,143.66
2024-04-01,25500,178,143.26
2024-04-02,29000,202,143.56
2024-04-03,32100,224,143.30
2024-04-04,30000,209,143.54
2024-04-05,33500,234,143.16
2024-04-06,36900,257,143.58
2024-04-07,39900,278,143.53
2024-04-08,26600,185,143.78
2024-04-09,30200,211,143.13
2024-04-10,33400,233,143.35
2024-04-11,31200,218,143.12
2024-04-12,34800,243,143.21
2024-04-13,38300,267,143.45
2024-04-14,41400,288,143.75
2024-04-15,27800,194,143.30
2024-04-16,31400,219,143.38
2024-04-17,34700,242,143.39
2024-04-18,32400,226,143.36
2024-04-19,36100,252,143.25
2024-04-20,39700,277,143.32
2024-04-21,42900,299,143.48
2024-04-22,29000,202,143.56
2024-04-23,32700,228,143.42
2024-04-24,36100,252,143.25
2024-04-25,33700,235,143.40
2024-04-26,37500,262,143.13
2024-04-27,41200,287,143.55
2024-04-28,44500,310,143.55
2024-04-29,30200,211,143.13
2024-04-30,34000,237,143.46
2024-05-01,37600,262,143.51
2024-05-02,35100,245,143.27
2024-05-03,38900,271,143.54
2024-05-04,42700,298,143.29
2024-05-05,46100,321,143.61
2024-05-06,31500,220,143.18
2024-05-07,35400,247,143.32
2024-05-08,39100,273,143.22
2024-05-09,36500,255,143.14
2024-05-10,40400,282,143.26
2024-05-11,44300,309,143.37
2024-05-12,47900,334,143.41
2024-05-13,32800,229,143.23
2024-05-14,36800,257,143.19
2024-05-15,40700,284,143.31
2024-05-16,38000,265,143.40
2024-05-17,41900,293,143.00
2024-05-18,45900,320,143.44
2024-05-19,49600,346,143.35
2024-05-20,34200,239,143.10
2024-05-21,38300,267,143.45
2024-05-22,42300,295,143.39
2024-05-23,39500,276,143.12
2024-05-24,43500,304,143.09
2024-05-25,47600,332,143.37
2024-05-26,51400,358,143.58
2024-05-27,35700,249,143.37
2024-05-28,39900,279,143.01
2024-05-29,44000,307,143.32
2024-05-30,41100,287,143.21
2024-05-31,45200,316,143.04
2024-06-01,49400,345,143.19
2024-06-02,53400,373,143.16
2024-06-03,37200,260,143.08
2024-06-04,41500,290,143.10
2024-06-05,45700,319,143.26
2024-06-06,42700,298,143.29
2024-06-07,46900,328,143.02
2024-06-08,51300,358,143.30
2024-06-09,55400,387,143.15
2024-06-10,38800,271,143.17
2024-06-11,43100,301,143.19
2024-06-12,47500,332,143.07
2024-06-13,44400,310,143.23
2024-06-14,48700,340,143.24
2024-06-15,53200,371,143.40
2024-06-16,57500,401,143.39
2024-06-17,40400,282,143.26
2024-06-18,44800,313,143.13
2024-06-19,49300,344,143.31
2024-06-20,46100,322,143.17
2024-06-21,50600,354,142.94
2024-06-22,55300,386,143.26
2024-06-23,59700,417,143.17
2024-06-24,42100,294,143.20
2024-06-25,46600,326,142.94
2024-06-26,51200,358,143.02
2024-06-27,47900,335,142.99
2024-06-28,52500,367,143.05
2024-06-29,57400,401,143.14
2024-06-30,62000,433,143.19
2024-07-01,43800,306,143.14
2024-07-02,48400,338,143.20
2024-07-03,53200,372,143.01
2024-07-04,49700,347,143.23
2024-07-05,54500,381,143.05
2024-07-06,59600,416,143.27
2024-07-07,64400,450,143.11
2024-07-08,45600,319,142.95
2024-07-09,50400,352,143.18
2024-07-10,55300,386,143.26
2024-07-11,51600,361,142.94
2024-07-12,56600,396,142.93
2024-07-13,61800,432,143.06
2024-07-14,66800,467,143.04
2024-07-15,47500,332,143.07
2024-07-16,52400,366,143.17
2024-07-17,57500,402,143.03
2024-07-18,53700,376,142.82
2024-07-19,58800,411,143.07
2024-07-20,64200,449,143.01
2024-07-21,69400,485,143.09
2024-07-22,49400,345,143.19
2024-07-23,54500,381,143.05
2024-07-24,59800,418,143.06
2024-07-25,55900,391,142.97
2024-07-26,61200,428,142.99
2024-07-27,66800,467,143.04
2024-07-28,72200,505,142.97
2024-07-29,51400,360,142.78
2024-07-30,56700,396,143.18
2024-07-31,62200,435,142.99
2024-08-01,58200,407,143.00
2024-08-02,63700,446,142.83
2024-08-03,69500,486,143.00
2024-08-04,75200,526,142.97
2024-08-05,53500,374,143.05
2024-08-06,59000,413,142.86
2024-08-07,64700,453,142.82
2024-08-08,60600,424,142.92
2024-08-09,66300,464,142.89
2024-08-10,72300,506,142.89
2024-08-11,78300,548,142.88
2024-08-12,55700,390,142.82
2024-08-13,61400,430,142.79
2024-08-14,67300,471,142.89
2024-08-15,63000,441,142.86
2024-08-16,68900,482,142.95
2024-08-17,75200,526,142.97
2024-08-18,81400,570,142.81
2024-08-19,58000,406,142.86
2024-08-20,63800,447,142.73
2024-08-21,69900,489,142.94
2024-08-22,65500,459,142.70
2024-08-23,71600,502,142.63
2024-08-24,78200,548,142.70
2024-08-25,84700,593,142.83
2024-08-26,60400,423,142.79
2024-08-27,66400,465,142.80
2024-08-28,72700,509,142.83
2024-08-29,68100,477,142.77
2024-08-30,74500,522,142.72
2024-08-31,81400,570,142.81
2024-09-01,88100,617,142.79
2024-09-02,62900,441,142.63
2024-09-03,69100,484,142.77
2024-09-04,75700,531,142.56
2024-09-05,70900,497,142.66
2024-09-06,77600,544,142.65
2024-09-07,84700,594,142.59
2024-09-08,91700,643,142.61
2024-09-09,65500,459,142.70
2024-09-10,72000,505,142.57
2024-09-11,78800,553,142.50
2024-09-12,73800,518,142.47
2024-09-13,80800,567,142.51
2024-09-14,88200,619,142.49
2024-09-15,95500,670,142.54
2024-09-16,68200,479,142.38
2024-09-17,74900,526,142.40
2024-09-18,82000,576,142.36
2024-09-19,76800,539,142.49
2024-09-20,84100,590,142.54
2024-09-21,91800,644,142.55
2024-09-22,99400,698,142.41
2024-09-23,71100,499,142.48
2024-09-24,78000,548,142.34
2024-09-25,85400,600,142.33
2024-09-26,80000,562,142.35
2024-09-27,87600,615,142.44
2024-09-28,95600,672,142.26
2024-09-29,103500,727,142.37
2024-09-30,74100,521,142.23
2024-10-01,81200,571,142.21
2024-10-02,88900,625,142.24
2024-10-03,83300,586,142.15
2024-10-04,91200,641,142.28
2024-10-05,99600,700,142.29
2024-10-06,107800,758,142.22
2024-10-07,77300,543,142.36
2024-10-08,84700,596,142.11
2024-10-09,92700,652,142.18
2024-10-10,86900,611,142.22
2024-10-11,95100,669,142.15
2024-10-12,103800,730,142.19
2024-10-13,112400,790,142.28
2024-10-14,80600,567,142.15
2024-10-15,88300,621,142.19
2024-10-16,96700,680,142.21
2024-10-17,90600,638,142.01
2024-10-18,99100,698,141.98
2024-10-19,108200,762,141.99
2024-10-20,117200,825,142.06
2024-10-21,84000,591,142.13
2024-10-22,92100,649,141.91
2024-10-23,100800,710,141.97
2024-10-24,94500,666,141.89
2024-10-25,103300,728,141.90
2024-10-26,112800,795,141.89
2024-10-27,122200,861,141.93
2024-10-28,87600,618,141.75
2024-10-29,96000,677,141.80
2024-10-30,105000,741,141.70
2024-10-31,98400,694,141.79
2024-11-01,107700,760,141.71
2024-11-02,117600,830,141.69
2024-11-03,127400,899,141.71
2024-11-04,91300,645,141.55
2024-11-05,100200,708,141.53
2024-11-06,109600,774,141.60
2024-11-07,102700,726,141.46
2024-11-08,112300,794,141.43
2024-11-09,122600,866,141.57
2024-11-10,133000,940,141.49
2024-11-11,95300,674,141.39
2024-11-12,104600,740,141.35
2024-11-13,114400,809,141.41
2024-11-14,107200,758,141.42
2024-11-15,117200,829,141.38
2024-11-16,128000,906,141.28
2024-11-17,138700,982,141.24
2024-11-18,99500,705,141.13
2024-11-19,109100,773,141.14
2024-11-20,119400,846,141.13
2024-11-21,111900,793,141.08
2024-11-22,122400,868,141.01
2024-11-23,133600,947,141.08
2024-11-24,144900,1027,141.09
2024-11-25,103900,737,140.98
2024-11-26,113900,808,140.97
2024-11-27,124700,885,140.90
2024-11-28,116900,830,140.84
2024-11-29,127900,909,140.70
2024-11-30,139600,992,140.73
2024-12-01,151400,1076,140.67
2024-12-02,108500,771,140.73
2024-12-03,118900,845,140.71
2024-12-04,130100,926,140.50
2024-12-05,122100,869,140.51
2024-12-06,133600,951,140.49
2024-12-07,145800,1038,140.46
2024-12-08,158200,1127,140.46
2024-12-09,113300,807,140.40
2024-12-10,124200,885,140.34
2024-12-11,135900,969,140.25
2024-12-12,127500,910,140.11
2024-12-13,139500,995,140.20
2024-12-14,152300,1087,140.11
2024-12-15,165400,1181,140.05
2024-12-16,118400,846,139.95
2024-12-17,129800,928,139.87
2024-12-18,142100,1017,139.67
2024-12-19,133200,954,139.62
2024-12-20,145800,1045,139.52
2024-12-21,159200,1142,139.40
2024-12-22,172900,1241,139.32
2024-12-23,123800,888,139.41
2024-12-24,135800,976,139.14
2024-12-25,148600,1069,139.01
2024-12-26,139300,1003,138.88
2024-12-27,152400,1098,138.80
2024-12-28,166600,1201,138.72
2024-12-29,181100,1307,138.55
2024-12-30,129500,935,138.50
2024-12-31,142000,1026,138.40
